query_duration;request_duration;hits
2115;2228;120000000
1762;1814;120000000
1349;1396;120000000
1356;1396;120000000
1201;1242;120000000
1185;1256;120000000
1363;1442;120000000
1389;1438;120000000
1218;1258;120000000
1242;1280;120000000
